"","X","id","DistrictId","Z","A","D","Y"
"355",355,"265600",4,1,0,1,16000
"356",356,"329100",4,1,1,0,0
"357",357,"293600",4,0,0,1,3000
"358",358,"326400",4,1,1,0,0
"359",359,"259300",4,0,0,0,1000
"360",360,"326000",4,1,1,1,0
"361",361,"271600",4,1,1,1,0
"362",362,"327100",4,1,1,1,0
"363",363,"337000",4,1,0,1,5000
"364",364,"4405000",4,1,1,1,10000
"365",365,"4403010",4,0,0,0,700
"366",366,"338700",4,1,1,1,1600
"367",367,"288700",4,0,0,0,900
"368",368,"327700",4,1,1,1,1200
"369",369,"347500",4,0,0,0,14000
"371",371,"258900",4,1,0,1,1000
"372",372,"327600",4,1,1,1,5500
"373",373,"347500",4,1,0,1,0
"374",374,"288700",4,0,0,0,70000
"375",375,"346400",4,1,1,1,300
"376",376,"347500",4,0,0,0,14000
"377",377,"266700",4,1,0,1,0
"378",378,"274800",4,1,1,1,200
"379",379,"314000",4,0,1,0,0
"380",380,"259100",4,1,1,1,0
"381",381,"271600",4,1,1,1,50000
"382",382,"4401290",4,0,1,1,2500
"383",383,"289600",4,0,0,0,0
"384",384,"259100",4,1,1,1,700
"385",385,"346000",4,1,0,1,6000
"386",386,"289500",4,0,0,1,7000
"387",387,"259600",4,1,1,1,1000
"388",388,"312200",4,0,0,1,0
"389",389,"294300",4,1,0,1,0
"390",390,"4403480",4,1,0,1,2200
"391",391,"266700",4,0,0,0,900
"392",392,"279300",4,0,0,0,0
"393",393,"259600",4,1,1,1,0
"394",394,"4405000",4,1,1,0,1000
"397",397,"259700",4,1,1,1,2000
"398",398,"283000",4,0,0,1,7000
"399",399,"259100",4,1,1,1,300
"400",400,"259700",4,1,1,1,2000
"401",401,"346600",4,1,0,1,0
"402",402,"269100",4,1,0,1,0
"403",403,"299000",4,0,0,0,101
"404",404,"291700",4,1,1,1,0
"405",405,"288700",4,1,0,0,900
"406",406,"315400",4,0,1,0,5500
"407",407,"312200",4,0,0,0,0
"408",408,"288700",4,0,0,0,0
"409",409,"266700",4,0,0,0,3000
"410",410,"278500",4,1,1,1,2500
"412",412,"327100",4,1,1,1,0
"413",413,"284300",4,0,0,0,1500
"414",414,"263700",4,1,1,1,0
"415",415,"327500",4,1,0,1,5000
"416",416,"263700",4,1,1,1,0
"417",417,"289500",4,0,0,0,500
"418",418,"312500",4,1,0,1,0
"420",420,"264400",4,1,1,0,9000
"421",421,"289400",4,1,1,1,16700
"422",422,"264900",4,1,0,1,4500
"423",423,"259100",4,0,1,0,0
"424",424,"286900",4,1,1,1,200
"425",425,"288700",4,0,0,0,0
"426",426,"265200",4,0,1,0,400
"427",427,"4403690",4,1,1,1,5200
"428",428,"4403310",4,1,1,1,3000
"429",429,"312300",4,1,0,1,10000
"430",430,"274700",4,0,1,0,0
"431",431,"279300",4,0,0,0,550
"432",432,"258000",4,0,0,1,0
"433",433,"264400",4,0,1,1,11000
"434",434,"258000",4,0,0,1,0
"435",435,"284300",4,0,0,0,1000
"436",436,"268500",4,1,1,0,7000
"437",437,"273700",4,1,0,1,2000
"438",438,"301700",4,0,1,0,900
"439",439,"330200",4,0,1,0,1500
"440",440,"287400",4,1,0,1,0
"441",441,"292500",4,1,1,1,4000
"442",442,"286100",4,1,1,1,200
"443",443,"318200",4,0,0,1,0
"444",444,"339300",4,1,1,0,300
"445",445,"265500",4,0,0,0,4500
"446",446,"312500",4,0,0,0,0
"447",447,"346400",4,1,1,0,1300
"448",448,"292100",4,1,1,0,900
"449",449,"290500",4,0,0,0,11000
"450",450,"310200",4,1,1,1,1100
"451",451,"289300",4,1,1,0,7000
"453",453,"4403340",4,0,0,0,8992
"454",454,"326400",4,1,1,1,1200
"455",455,"259300",4,0,0,0,1500
"456",456,"259300",4,0,0,0,0
"457",457,"318200",4,1,0,1,0
"458",458,"4403010",4,1,0,1,0
"459",459,"291700",4,1,1,1,0
"460",460,"268700",4,1,1,1,300
"461",461,"315400",4,1,1,1,1500
"463",463,"258900",4,0,0,0,0
"464",464,"258900",4,0,0,0,0
"465",465,"290700",4,1,1,1,700
"466",466,"264400",4,0,1,1,13000
"467",467,"4403620",4,0,0,1,72000
"468",468,"259600",4,1,1,0,200
"470",470,"286800",4,1,1,1,4000
"471",471,"259100",4,1,1,1,0
"472",472,"299000",4,0,0,0,1000
"473",473,"259100",4,1,1,0,0
"474",474,"302000",4,1,0,1,2100
"475",475,"259100",4,0,1,0,0
"476",476,"315400",4,1,1,1,1500
"477",477,"278500",4,1,1,0,9000
"478",478,"346000",4,0,0,0,4700
"479",479,"312300",4,0,0,0,10500
"481",481,"263700",4,1,1,1,1500
"482",482,"4403060",4,0,0,0,1250
"483",483,"284700",4,1,0,1,0
"484",484,"303300",4,0,0,0,0
"485",485,"312500",4,1,0,0,30000
"486",486,"312500",4,0,0,0,7000
"487",487,"259700",4,0,1,0,2000
"488",488,"310400",4,1,1,1,3000
"489",489,"294300",4,0,0,0,9000
"490",490,"330200",4,1,1,1,1200
"491",491,"303500",4,1,0,1,0
"492",492,"4403410",4,1,1,1,500
"493",493,"288900",4,0,0,0,0
"494",494,"313200",4,1,1,0,400
"495",495,"290200",4,0,0,0,2000
"496",496,"310200",4,1,1,0,5500
"497",497,"310200",4,1,1,0,1500
"498",498,"278500",4,1,1,1,3235
"499",499,"278500",4,0,1,0,73786
"500",500,"292000",4,0,0,0,0
"502",502,"326200",4,1,0,0,0
"503",503,"315900",4,1,1,1,5500
"504",504,"291700",4,1,1,1,0
"505",505,"315900",4,1,1,1,4000
"506",506,"4403600",4,1,0,1,50200
"508",508,"268700",4,1,1,1,300
"509",509,"293600",4,1,0,1,9000
"510",510,"287200",4,1,1,1,900
"511",511,"264400",4,1,1,1,3000
"512",512,"305900",4,0,0,1,0
"513",513,"326000",4,1,1,1,1500
"514",514,"318200",4,1,0,0,0
"515",515,"290000",4,0,0,1,0
"516",516,"318200",4,0,0,0,0
"517",517,"292600",4,1,0,1,1700
"518",518,"315900",4,1,1,1,600
"519",519,"313200",4,1,1,1,4000
"520",520,"313200",4,1,1,1,600
"521",521,"4403360",4,1,1,1,0
"522",522,"314000",4,1,1,1,0
"523",523,"263700",4,1,1,1,1500
"524",524,"292600",4,1,0,1,700
"525",525,"314000",4,1,1,1,0
"527",527,"264400",4,1,1,1,6000
"528",528,"312500",4,0,0,0,0
"529",529,"316000",4,1,1,1,0
"530",530,"312500",4,0,0,0,0
"531",531,"315400",4,1,1,1,1000
"532",532,"311400",4,0,0,0,0
"533",533,"287400",4,0,0,1,0
"534",534,"303500",4,1,0,0,6000
"536",536,"4403400",4,1,1,0,4000
"537",537,"305900",4,1,0,1,0
"538",538,"327600",4,1,1,0,10000
"539",539,"305900",4,1,0,1,2500
